Lexical Analysis Log
User: DavidlunaT
File: temp_analysis.cs
Date: 11-07-2025-05h07

=== TOKENS ===
USING             'using'                        (line 1)
IDENTIFIER        'System'                       (line 1)
SEMICOLON         ';'                            (line 1)
CLASS             'class'                        (line 3)
IDENTIFIER        'SimpleCalculator'             (line 3)
OPEN_BRACE        '{'                            (line 4)
STATIC            'static'                       (line 5)
VOID              'void'                         (line 5)
IDENTIFIER        'Main'                         (line 5)
OPEN_PAREN        '('                            (line 5)
STRING_TYPE       'string'                       (line 5)
OPEN_BRACKET      '['                            (line 5)
CLOSE_BRACKET     ']'                            (line 5)
IDENTIFIER        'args'                         (line 5)
CLOSE_PAREN       ')'                            (line 5)
OPEN_BRACE        '{'                            (line 6)
CONSOLE           'Console'                      (line 7)
DOT               '.'                            (line 7)
WRITELINE         'WriteLine'                    (line 7)
OPEN_PAREN        '('                            (line 7)
STRING            'Simple Calculator - Add or Subtract' (line 7)
CLOSE_PAREN       ')'                            (line 7)
SEMICOLON         ';'                            (line 7)
CONSOLE           'Console'                      (line 8)
DOT               '.'                            (line 8)
WRITE             'Write'                        (line 8)
OPEN_PAREN        '('                            (line 8)
STRING            'Enter first number: '         (line 8)
CLOSE_PAREN       ')'                            (line 8)
SEMICOLON         ';'                            (line 8)
INT_TYPE          'int'                          (line 9)
IDENTIFIER        'num1'                         (line 9)
ASSIGN            '='                            (line 9)
CONVERT           'Convert'                      (line 9)
DOT               '.'                            (line 9)
TOINT32           'ToInt32'                      (line 9)
OPEN_PAREN        '('                            (line 9)
CONSOLE           'Console'                      (line 9)
DOT               '.'                            (line 9)
READLINE          'ReadLine'                     (line 9)
OPEN_PAREN        '('                            (line 9)
CLOSE_PAREN       ')'                            (line 9)
CLOSE_PAREN       ')'                            (line 9)
SEMICOLON         ';'                            (line 9)
CONSOLE           'Console'                      (line 12)
DOT               '.'                            (line 12)
WRITE             'Write'                        (line 12)
OPEN_PAREN        '('                            (line 12)
STRING            'Enter second number: '        (line 12)
CLOSE_PAREN       ')'                            (line 12)
SEMICOLON         ';'                            (line 12)
INT_TYPE          'int'                          (line 13)
IDENTIFIER        'num2'                         (line 13)
ASSIGN            '='                            (line 13)
CONVERT           'Convert'                      (line 13)
DOT               '.'                            (line 13)
TOINT32           'ToInt32'                      (line 13)
OPEN_PAREN        '('                            (line 13)
CONSOLE           'Console'                      (line 13)
DOT               '.'                            (line 13)
READLINE          'ReadLine'                     (line 13)
OPEN_PAREN        '('                            (line 13)
CLOSE_PAREN       ')'                            (line 13)
CLOSE_PAREN       ')'                            (line 13)
SEMICOLON         ';'                            (line 13)
CONSOLE           'Console'                      (line 15)
DOT               '.'                            (line 15)
WRITE             'Write'                        (line 15)
OPEN_PAREN        '('                            (line 15)
STRING            'Choose operation (+ or -): '  (line 15)
CLOSE_PAREN       ')'                            (line 15)
SEMICOLON         ';'                            (line 15)
STRING_TYPE       'string'                       (line 16)
IDENTIFIER        'operation'                    (line 16)
ASSIGN            '='                            (line 16)
CONSOLE           'Console'                      (line 16)
DOT               '.'                            (line 16)
READLINE          'ReadLine'                     (line 16)
OPEN_PAREN        '('                            (line 16)
CLOSE_PAREN       ')'                            (line 16)
SEMICOLON         ';'                            (line 16)
INT_TYPE          'int'                          (line 18)
IDENTIFIER        'result'                       (line 18)
ASSIGN            '='                            (line 18)
INTEGER           0                              (line 18)
SEMICOLON         ';'                            (line 18)
IF                'if'                           (line 20)
OPEN_PAREN        '('                            (line 20)
IDENTIFIER        'operation'                    (line 20)
EQUAL             '=='                           (line 20)
STRING            '+'                            (line 20)
CLOSE_PAREN       ')'                            (line 20)
OPEN_BRACE        '{'                            (line 21)
IDENTIFIER        'result'                       (line 22)
ASSIGN            '='                            (line 22)
IDENTIFIER        'num1'                         (line 22)
PLUS              '+'                            (line 22)
IDENTIFIER        'num2'                         (line 22)
SEMICOLON         ';'                            (line 22)
CLOSE_BRACE       '}'                            (line 23)
ELSE              'else'                         (line 24)
IF                'if'                           (line 24)
OPEN_PAREN        '('                            (line 24)
IDENTIFIER        'operation'                    (line 24)
EQUAL             '=='                           (line 24)
STRING            '-'                            (line 24)
CLOSE_PAREN       ')'                            (line 24)
OPEN_BRACE        '{'                            (line 25)
IDENTIFIER        'result'                       (line 26)
ASSIGN            '='                            (line 26)
IDENTIFIER        'num1'                         (line 26)
MINUS             '-'                            (line 26)
IDENTIFIER        'num2'                         (line 26)
SEMICOLON         ';'                            (line 26)
CLOSE_BRACE       '}'                            (line 27)
ELSE              'else'                         (line 28)
OPEN_BRACE        '{'                            (line 29)
CONSOLE           'Console'                      (line 30)
DOT               '.'                            (line 30)
WRITELINE         'WriteLine'                    (line 30)
OPEN_PAREN        '('                            (line 30)
STRING            'Invalid operation.'           (line 30)
CLOSE_PAREN       ')'                            (line 30)
SEMICOLON         ';'                            (line 30)
RETURN            'return'                       (line 31)
SEMICOLON         ';'                            (line 31)
CLOSE_BRACE       '}'                            (line 32)
CONSOLE           'Console'                      (line 34)
DOT               '.'                            (line 34)
WRITELINE         'WriteLine'                    (line 34)
OPEN_PAREN        '('                            (line 34)
STRING            'Result: '                     (line 34)
PLUS              '+'                            (line 34)
IDENTIFIER        'result'                       (line 34)
CLOSE_PAREN       ')'                            (line 34)
SEMICOLON         ';'                            (line 34)
CLOSE_BRACE       '}'                            (line 35)
CLOSE_BRACE       '}'                            (line 36)

No lexical errors detected.
