Lexical Analysis Log
User: DavidlunaT
File: algoritmos/algoritmo1.cs
Date: 16-06-2025-11h50

=== TOKENS ===
USING             'using'                        (line 1)
IDENTIFIER        'System'                       (line 1)
SEMICOLON         ';'                            (line 1)
CLASS             'class'                        (line 3)
IDENTIFIER        'SimpleCalculator'             (line 3)
OPEN_BRACE        '{'                            (line 4)
STATIC            'static'                       (line 5)
VOID              'void'                         (line 5)
IDENTIFIER        'Main'                         (line 5)
OPEN_PAREN        '('                            (line 5)
STRING_TYPE       'string'                       (line 5)
OPEN_BRACKET      '['                            (line 5)
CLOSE_BRACKET     ']'                            (line 5)
IDENTIFIER        'args'                         (line 5)
CLOSE_PAREN       ')'                            (line 5)
OPEN_BRACE        '{'                            (line 6)
CONSOLE           'Console'                      (line 7)
DOT               '.'                            (line 7)
WRITELINE         'WriteLine'                    (line 7)
OPEN_PAREN        '('                            (line 7)
STRING            '"Simple Calculator - Add or Subtract"' (line 7)
CLOSE_PAREN       ')'                            (line 7)
SEMICOLON         ';'                            (line 7)
CONSOLE           'Console'                      (line 8)
DOT               '.'                            (line 8)
WRITE             'Write'                        (line 8)
OPEN_PAREN        '('                            (line 8)
STRING            '"Enter first number: "'       (line 8)
CLOSE_PAREN       ')'                            (line 8)
SEMICOLON         ';'                            (line 8)
INT_TYPE          'int'                          (line 9)
IDENTIFIER        'num1'                         (line 9)
ASSIGN            '='                            (line 9)
CONVERT           'Convert'                      (line 9)
DOT               '.'                            (line 9)
TOINT32           'ToInt32'                      (line 9)
OPEN_PAREN        '('                            (line 9)
CONSOLE           'Console'                      (line 9)
DOT               '.'                            (line 9)
READLINE          'ReadLine'                     (line 9)
OPEN_PAREN        '('                            (line 9)
CLOSE_PAREN       ')'                            (line 9)
CLOSE_PAREN       ')'                            (line 9)
SEMICOLON         ';'                            (line 9)
CONSOLE           'Console'                      (line 11)
DOT               '.'                            (line 11)
WRITE             'Write'                        (line 11)
OPEN_PAREN        '('                            (line 11)
STRING            '"Enter second number: "'      (line 11)
CLOSE_PAREN       ')'                            (line 11)
SEMICOLON         ';'                            (line 11)
INT_TYPE          'int'                          (line 12)
IDENTIFIER        'num2'                         (line 12)
ASSIGN            '='                            (line 12)
CONVERT           'Convert'                      (line 12)
DOT               '.'                            (line 12)
TOINT32           'ToInt32'                      (line 12)
OPEN_PAREN        '('                            (line 12)
CONSOLE           'Console'                      (line 12)
DOT               '.'                            (line 12)
READLINE          'ReadLine'                     (line 12)
OPEN_PAREN        '('                            (line 12)
CLOSE_PAREN       ')'                            (line 12)
CLOSE_PAREN       ')'                            (line 12)
SEMICOLON         ';'                            (line 12)
CONSOLE           'Console'                      (line 14)
DOT               '.'                            (line 14)
WRITE             'Write'                        (line 14)
OPEN_PAREN        '('                            (line 14)
STRING            '"Choose operation (+ or -): "' (line 14)
CLOSE_PAREN       ')'                            (line 14)
SEMICOLON         ';'                            (line 14)
STRING_TYPE       'string'                       (line 15)
IDENTIFIER        'operation'                    (line 15)
ASSIGN            '='                            (line 15)
CONSOLE           'Console'                      (line 15)
DOT               '.'                            (line 15)
READLINE          'ReadLine'                     (line 15)
OPEN_PAREN        '('                            (line 15)
CLOSE_PAREN       ')'                            (line 15)
SEMICOLON         ';'                            (line 15)
INT_TYPE          'int'                          (line 17)
IDENTIFIER        'result'                       (line 17)
ASSIGN            '='                            (line 17)
INTEGER           0                              (line 17)
SEMICOLON         ';'                            (line 17)
IF                'if'                           (line 19)
OPEN_PAREN        '('                            (line 19)
IDENTIFIER        'operation'                    (line 19)
EQUAL             '=='                           (line 19)
STRING            '"+"'                          (line 19)
CLOSE_PAREN       ')'                            (line 19)
OPEN_BRACE        '{'                            (line 20)
IDENTIFIER        'result'                       (line 21)
ASSIGN            '='                            (line 21)
IDENTIFIER        'num1'                         (line 21)
PLUS              '+'                            (line 21)
IDENTIFIER        'num2'                         (line 21)
SEMICOLON         ';'                            (line 21)
CLOSE_BRACE       '}'                            (line 22)
ELSE              'else'                         (line 23)
IF                'if'                           (line 23)
OPEN_PAREN        '('                            (line 23)
IDENTIFIER        'operation'                    (line 23)
EQUAL             '=='                           (line 23)
STRING            '"-"'                          (line 23)
CLOSE_PAREN       ')'                            (line 23)
OPEN_BRACE        '{'                            (line 24)
IDENTIFIER        'result'                       (line 25)
ASSIGN            '='                            (line 25)
IDENTIFIER        'num1'                         (line 25)
MINUS             '-'                            (line 25)
IDENTIFIER        'num2'                         (line 25)
SEMICOLON         ';'                            (line 25)
CLOSE_BRACE       '}'                            (line 26)
ELSE              'else'                         (line 27)
OPEN_BRACE        '{'                            (line 28)
CONSOLE           'Console'                      (line 29)
DOT               '.'                            (line 29)
WRITELINE         'WriteLine'                    (line 29)
OPEN_PAREN        '('                            (line 29)
STRING            '"Invalid operation."'         (line 29)
CLOSE_PAREN       ')'                            (line 29)
SEMICOLON         ';'                            (line 29)
RETURN            'return'                       (line 30)
SEMICOLON         ';'                            (line 30)
CLOSE_BRACE       '}'                            (line 31)
CONSOLE           'Console'                      (line 33)
DOT               '.'                            (line 33)
WRITELINE         'WriteLine'                    (line 33)
OPEN_PAREN        '('                            (line 33)
STRING            '"Result: "'                   (line 33)
PLUS              '+'                            (line 33)
IDENTIFIER        'result'                       (line 33)
CLOSE_PAREN       ')'                            (line 33)
SEMICOLON         ';'                            (line 33)
CLOSE_BRACE       '}'                            (line 34)
CLOSE_BRACE       '}'                            (line 35)

No lexical errors detected.
