Lexical Analysis Log
User: gabsjimz
File: temp_analysis.cs
Date: 11-07-2025-04h42

=== TOKENS ===
USING             'using'                        (line 727)
IDENTIFIER        'System'                       (line 727)
SEMICOLON         ';'                            (line 727)
CLASS             'class'                        (line 729)
IDENTIFIER        'BubbleSortExample'            (line 729)
OPEN_BRACE        '{'                            (line 730)
STATIC            'static'                       (line 731)
VOID              'void'                         (line 731)
IDENTIFIER        'BubbleSort'                   (line 731)
OPEN_PAREN        '('                            (line 731)
INT_TYPE          'int'                          (line 731)
OPEN_BRACKET      '['                            (line 731)
CLOSE_BRACKET     ']'                            (line 731)
IDENTIFIER        'array'                        (line 731)
CLOSE_PAREN       ')'                            (line 731)
OPEN_BRACE        '{'                            (line 732)
INT_TYPE          'int'                          (line 733)
IDENTIFIER        'n'                            (line 733)
ASSIGN            '='                            (line 733)
IDENTIFIER        'array'                        (line 733)
DOT               '.'                            (line 733)
IDENTIFIER        'Length'                       (line 733)
SEMICOLON         ';'                            (line 733)
FOR               'for'                          (line 734)
OPEN_PAREN        '('                            (line 734)
INT_TYPE          'int'                          (line 734)
IDENTIFIER        'i'                            (line 734)
ASSIGN            '='                            (line 734)
INTEGER           0                              (line 734)
SEMICOLON         ';'                            (line 734)
IDENTIFIER        'i'                            (line 734)
LESS_THAN         '<'                            (line 734)
IDENTIFIER        'n'                            (line 734)
MINUS             '-'                            (line 734)
INTEGER           1                              (line 734)
SEMICOLON         ';'                            (line 734)
IDENTIFIER        'i'                            (line 734)
INCREMENT         '++'                           (line 734)
CLOSE_PAREN       ')'                            (line 734)
OPEN_BRACE        '{'                            (line 735)
FOR               'for'                          (line 736)
OPEN_PAREN        '('                            (line 736)
INT_TYPE          'int'                          (line 736)
IDENTIFIER        'j'                            (line 736)
ASSIGN            '='                            (line 736)
INTEGER           0                              (line 736)
SEMICOLON         ';'                            (line 736)
IDENTIFIER        'j'                            (line 736)
LESS_THAN         '<'                            (line 736)
IDENTIFIER        'n'                            (line 736)
MINUS             '-'                            (line 736)
IDENTIFIER        'i'                            (line 736)
MINUS             '-'                            (line 736)
INTEGER           1                              (line 736)
SEMICOLON         ';'                            (line 736)
IDENTIFIER        'j'                            (line 736)
INCREMENT         '++'                           (line 736)
CLOSE_PAREN       ')'                            (line 736)
OPEN_BRACE        '{'                            (line 737)
IF                'if'                           (line 738)
OPEN_PAREN        '('                            (line 738)
IDENTIFIER        'array'                        (line 738)
OPEN_BRACKET      '['                            (line 738)
IDENTIFIER        'j'                            (line 738)
CLOSE_BRACKET     ']'                            (line 738)
CLOSE_PAREN       ')'                            (line 738)
OPEN_BRACE        '{'                            (line 739)
INT_TYPE          'int'                          (line 740)
IDENTIFIER        'temp'                         (line 740)
ASSIGN            '='                            (line 740)
IDENTIFIER        'array'                        (line 740)
OPEN_BRACKET      '['                            (line 740)
IDENTIFIER        'j'                            (line 740)
CLOSE_BRACKET     ']'                            (line 740)
SEMICOLON         ';'                            (line 740)
IDENTIFIER        'array'                        (line 741)
OPEN_BRACKET      '['                            (line 741)
IDENTIFIER        'j'                            (line 741)
CLOSE_BRACKET     ']'                            (line 741)
ASSIGN            '='                            (line 741)
IDENTIFIER        'array'                        (line 741)
OPEN_BRACKET      '['                            (line 741)
IDENTIFIER        'j'                            (line 741)
PLUS              '+'                            (line 741)
INTEGER           1                              (line 741)
CLOSE_BRACKET     ']'                            (line 741)
SEMICOLON         ';'                            (line 741)
IDENTIFIER        'array'                        (line 742)
OPEN_BRACKET      '['                            (line 742)
IDENTIFIER        'j'                            (line 742)
PLUS              '+'                            (line 742)
INTEGER           1                              (line 742)
CLOSE_BRACKET     ']'                            (line 742)
ASSIGN            '='                            (line 742)
IDENTIFIER        'temp'                         (line 742)
SEMICOLON         ';'                            (line 742)
CLOSE_BRACE       '}'                            (line 743)
CLOSE_BRACE       '}'                            (line 744)
CLOSE_BRACE       '}'                            (line 745)
CLOSE_BRACE       '}'                            (line 746)
STATIC            'static'                       (line 748)
VOID              'void'                         (line 748)
IDENTIFIER        'Main'                         (line 748)
OPEN_PAREN        '('                            (line 748)
STRING_TYPE       'string'                       (line 748)
OPEN_BRACKET      '['                            (line 748)
CLOSE_BRACKET     ']'                            (line 748)
IDENTIFIER        'args'                         (line 748)
CLOSE_PAREN       ')'                            (line 748)
OPEN_BRACE        '{'                            (line 749)
INT_TYPE          'int'                          (line 750)
OPEN_BRACKET      '['                            (line 750)
CLOSE_BRACKET     ']'                            (line 750)
IDENTIFIER        'numbers'                      (line 750)
ASSIGN            '='                            (line 750)
OPEN_BRACE        '{'                            (line 750)
INTEGER           5                              (line 750)
COMMA             ','                            (line 750)
INTEGER           2                              (line 750)
COMMA             ','                            (line 750)
INTEGER           9                              (line 750)
COMMA             ','                            (line 750)
INTEGER           1                              (line 750)
COMMA             ','                            (line 750)
INTEGER           5                              (line 750)
COMMA             ','                            (line 750)
INTEGER           6                              (line 750)
CLOSE_BRACE       '}'                            (line 750)
SEMICOLON         ';'                            (line 750)
CONSOLE           'Console'                      (line 751)
DOT               '.'                            (line 751)
WRITELINE         'WriteLine'                    (line 751)
OPEN_PAREN        '('                            (line 751)
STRING            'Original array:'              (line 751)
CLOSE_PAREN       ')'                            (line 751)
SEMICOLON         ';'                            (line 751)
FOREACH           'foreach'                      (line 752)
OPEN_PAREN        '('                            (line 752)
INT_TYPE          'int'                          (line 752)
IDENTIFIER        'num'                          (line 752)
IN                'in'                           (line 752)
IDENTIFIER        'numbers'                      (line 752)
CLOSE_PAREN       ')'                            (line 752)
OPEN_BRACE        '{'                            (line 753)
CONSOLE           'Console'                      (line 754)
DOT               '.'                            (line 754)
WRITE             'Write'                        (line 754)
OPEN_PAREN        '('                            (line 754)
IDENTIFIER        'num'                          (line 754)
PLUS              '+'                            (line 754)
STRING            ' '                            (line 754)
CLOSE_PAREN       ')'                            (line 754)
SEMICOLON         ';'                            (line 754)
CLOSE_BRACE       '}'                            (line 755)
IDENTIFIER        'BubbleSort'                   (line 757)
OPEN_PAREN        '('                            (line 757)
IDENTIFIER        'numbers'                      (line 757)
CLOSE_PAREN       ')'                            (line 757)
SEMICOLON         ';'                            (line 757)
CONSOLE           'Console'                      (line 759)
DOT               '.'                            (line 759)
WRITELINE         'WriteLine'                    (line 759)
OPEN_PAREN        '('                            (line 759)
STRING            '\nSorted array:'              (line 759)
CLOSE_PAREN       ')'                            (line 759)
SEMICOLON         ';'                            (line 759)
FOREACH           'foreach'                      (line 760)
