Lexical Analysis Log
User: gabsjimz
File: algoritmo3.cs
Date: 13-07-2025-22h58

=== TOKENS ===
USING             'using'                        (line 1)
IDENTIFIER        'System'                       (line 1)
SEMICOLON         ';'                            (line 1)
CLASS             'class'                        (line 3)
IDENTIFIER        'BubbleSortExample'            (line 3)
OPEN_BRACE        '{'                            (line 4)
STATIC            'static'                       (line 5)
VOID              'void'                         (line 5)
IDENTIFIER        'BubbleSort'                   (line 5)
OPEN_PAREN        '('                            (line 5)
INT_TYPE          'int'                          (line 5)
OPEN_BRACKET      '['                            (line 5)
CLOSE_BRACKET     ']'                            (line 5)
IDENTIFIER        'array'                        (line 5)
CLOSE_PAREN       ')'                            (line 5)
OPEN_BRACE        '{'                            (line 6)
INT_TYPE          'int'                          (line 7)
IDENTIFIER        'n'                            (line 7)
ASSIGN            '='                            (line 7)
IDENTIFIER        'array'                        (line 7)
DOT               '.'                            (line 7)
IDENTIFIER        'Length'                       (line 7)
SEMICOLON         ';'                            (line 7)
FOR               'for'                          (line 8)
OPEN_PAREN        '('                            (line 8)
INT_TYPE          'int'                          (line 8)
IDENTIFIER        'i'                            (line 8)
ASSIGN            '='                            (line 8)
INTEGER           0                              (line 8)
SEMICOLON         ';'                            (line 8)
IDENTIFIER        'i'                            (line 8)
LESS_THAN         '<'                            (line 8)
IDENTIFIER        'n'                            (line 8)
MINUS             '-'                            (line 8)
INTEGER           1                              (line 8)
SEMICOLON         ';'                            (line 8)
IDENTIFIER        'i'                            (line 8)
INCREMENT         '++'                           (line 8)
CLOSE_PAREN       ')'                            (line 8)
OPEN_BRACE        '{'                            (line 9)
FOR               'for'                          (line 10)
OPEN_PAREN        '('                            (line 10)
INT_TYPE          'int'                          (line 10)
IDENTIFIER        'j'                            (line 10)
ASSIGN            '='                            (line 10)
INTEGER           0                              (line 10)
SEMICOLON         ';'                            (line 10)
IDENTIFIER        'j'                            (line 10)
LESS_THAN         '<'                            (line 10)
IDENTIFIER        'n'                            (line 10)
MINUS             '-'                            (line 10)
IDENTIFIER        'i'                            (line 10)
MINUS             '-'                            (line 10)
INTEGER           1                              (line 10)
SEMICOLON         ';'                            (line 10)
IDENTIFIER        'j'                            (line 10)
