Lexical Analysis Log
User: gabsjimz
File: algoritmos/algoritmo3.cs
Date: 14-06-2025-19h21

=== TOKENS ===
USING             'using'                        (line 1)
IDENTIFIER        'System'                       (line 1)
SEMICOLON         ';'                            (line 1)
CLASS             'class'                        (line 3)
IDENTIFIER        'FactorialCalculator'          (line 3)
OPEN_BRACE        '{'                            (line 4)
STATIC            'static'                       (line 5)
INT_TYPE          'int'                          (line 5)
IDENTIFIER        'Factorial'                    (line 5)
OPEN_PAREN        '('                            (line 5)
INT_TYPE          'int'                          (line 5)
IDENTIFIER        'n'                            (line 5)
CLOSE_PAREN       ')'                            (line 5)
OPEN_BRACE        '{'                            (line 6)
IF                'if'                           (line 7)
OPEN_PAREN        '('                            (line 7)
IDENTIFIER        'n'                            (line 7)
OPERATOR          '<='                           (line 7)
INTEGER           1                              (line 7)
CLOSE_PAREN       ')'                            (line 7)
OPEN_BRACE        '{'                            (line 8)
RETURN            'return'                       (line 9)
INTEGER           1                              (line 9)
SEMICOLON         ';'                            (line 9)
CLOSE_BRACE       '}'                            (line 10)
ELSE              'else'                         (line 11)
OPEN_BRACE        '{'                            (line 12)
RETURN            'return'                       (line 13)
IDENTIFIER        'n'                            (line 13)
OPERATOR          '*'                            (line 13)
IDENTIFIER        'Factorial'                    (line 13)
OPEN_PAREN        '('                            (line 13)
IDENTIFIER        'n'                            (line 13)
OPERATOR          '-'                            (line 13)
INTEGER           1                              (line 13)
CLOSE_PAREN       ')'                            (line 13)
SEMICOLON         ';'                            (line 13)
CLOSE_BRACE       '}'                            (line 14)
CLOSE_BRACE       '}'                            (line 15)
STATIC            'static'                       (line 17)
VOID              'void'                         (line 17)
IDENTIFIER        'Main'                         (line 17)
OPEN_PAREN        '('                            (line 17)
STRING_TYPE       'string'                       (line 17)
OPEN_BRACKET      '['                            (line 17)
CLOSE_BRACKET     ']'                            (line 17)
IDENTIFIER        'args'                         (line 17)
CLOSE_PAREN       ')'                            (line 17)
OPEN_BRACE        '{'                            (line 18)
CONSOLE           'Console'                      (line 19)
DOT               '.'                            (line 19)
WRITE             'Write'                        (line 19)
OPEN_PAREN        '('                            (line 19)
STRING            '"Enter a number: "'           (line 19)
CLOSE_PAREN       ')'                            (line 19)
SEMICOLON         ';'                            (line 19)
INT_TYPE          'int'                          (line 20)
IDENTIFIER        'num'                          (line 20)
IDENTIFIER        'ber'                          (line 20)
OPERATOR          '='                            (line 20)
CONVERT           'Convert'                      (line 20)
DOT               '.'                            (line 20)
TOINT32           'ToInt32'                      (line 20)
OPEN_PAREN        '('                            (line 20)
CONSOLE           'Console'                      (line 20)
DOT               '.'                            (line 20)
READLINE          'ReadLine'                     (line 20)
OPEN_PAREN        '('                            (line 20)
CLOSE_PAREN       ')'                            (line 20)
CLOSE_PAREN       ')'                            (line 20)
SEMICOLON         ';'                            (line 20)
INT_TYPE          'int'                          (line 21)
IDENTIFIER        'result'                       (line 21)
OPERATOR          '='                            (line 21)
IDENTIFIER        'Factorial'                    (line 21)
OPEN_PAREN        '('                            (line 21)
IDENTIFIER        'num'                          (line 21)
IDENTIFIER        'ber'                          (line 21)
CLOSE_PAREN       ')'                            (line 21)
SEMICOLON         ';'                            (line 21)
CONSOLE           'Console'                      (line 22)
DOT               '.'                            (line 22)
IDENTIFIER        'Writeline'                    (line 22)
OPEN_PAREN        '('                            (line 22)
STRING            '"Factorial is: "'             (line 22)
OPERATOR          '+'                            (line 22)
IDENTIFIER        'result'                       (line 22)
CLOSE_PAREN       ')'                            (line 22)
SEMICOLON         ';'                            (line 22)
CLOSE_BRACE       '}'                            (line 23)
CLOSE_BRACE       '}'                            (line 24)

=== ERRORS ===
[ERROR] Illegal character '$' at line 11
[ERROR] Illegal character '#' at line 20
[ERROR] Illegal character '#' at line 21
