Lexical Analysis Log
User: waldaara
File: temp_analysis.cs
Date: 11-07-2025-04h40

=== TOKENS ===
USING             'using'                        (line 643)
IDENTIFIER        'System'                       (line 643)
SEMICOLON         ';'                            (line 643)
CLASS             'class'                        (line 645)
IDENTIFIER        'Program'                      (line 645)
OPEN_BRACE        '{'                            (line 646)
STATIC            'static'                       (line 647)
VOID              'void'                         (line 647)
IDENTIFIER        'Fibonacci'                    (line 647)
OPEN_PAREN        '('                            (line 647)
INT_TYPE          'int'                          (line 647)
COUNT             'count'                        (line 647)
CLOSE_PAREN       ')'                            (line 647)
OPEN_BRACE        '{'                            (line 648)
INT_TYPE          'int'                          (line 649)
IDENTIFIER        'a'                            (line 649)
ASSIGN            '='                            (line 649)
INTEGER           0                              (line 649)
COMMA             ','                            (line 649)
IDENTIFIER        'b'                            (line 649)
ASSIGN            '='                            (line 649)
INTEGER           1                              (line 649)
SEMICOLON         ';'                            (line 649)
CONSOLE           'Console'                      (line 650)
DOT               '.'                            (line 650)
WRITE             'Write'                        (line 650)
OPEN_PAREN        '('                            (line 650)
STRING            'Fibonacci: '                  (line 650)
CLOSE_PAREN       ')'                            (line 650)
SEMICOLON         ';'                            (line 650)
FOR               'for'                          (line 651)
OPEN_PAREN        '('                            (line 651)
INT_TYPE          'int'                          (line 651)
IDENTIFIER        'i'                            (line 651)
ASSIGN            '='                            (line 651)
INTEGER           0                              (line 651)
SEMICOLON         ';'                            (line 651)
IDENTIFIER        'i'                            (line 651)
LESS_THAN         '<'                            (line 651)
COUNT             'count'                        (line 651)
SEMICOLON         ';'                            (line 651)
IDENTIFIER        'i'                            (line 651)
INCREMENT         '++'                           (line 651)
CLOSE_PAREN       ')'                            (line 651)
OPEN_BRACE        '{'                            (line 652)
CONSOLE           'Console'                      (line 653)
DOT               '.'                            (line 653)
WRITE             'Write'                        (line 653)
OPEN_PAREN        '('                            (line 653)
IDENTIFIER        'a'                            (line 653)
PLUS              '+'                            (line 653)
STRING            ' '                            (line 653)
CLOSE_PAREN       ')'                            (line 653)
SEMICOLON         ';'                            (line 653)
INT_TYPE          'int'                          (line 654)
IDENTIFIER        'temp'                         (line 654)
ASSIGN            '='                            (line 654)
IDENTIFIER        'a'                            (line 654)
SEMICOLON         ';'                            (line 654)
IDENTIFIER        'a'                            (line 655)
ASSIGN            '='                            (line 655)
IDENTIFIER        'b'                            (line 655)
SEMICOLON         ';'                            (line 655)
IDENTIFIER        'b'                            (line 656)
ASSIGN            '='                            (line 656)
IDENTIFIER        'temp'                         (line 656)
PLUS              '+'                            (line 656)
IDENTIFIER        'b'                            (line 656)
CLOSE_BRACE       '}'                            (line 657)
CLOSE_BRACE       '}'                            (line 658)
STATIC            'static'                       (line 660)
VOID              'void'                         (line 660)
IDENTIFIER        'Main'                         (line 660)
OPEN_PAREN        '('                            (line 660)
CLOSE_PAREN       ')'                            (line 660)
OPEN_BRACE        '{'                            (line 661)
IDENTIFIER        'Fibonacci'                    (line 662)
OPEN_PAREN        '('                            (line 662)
INTEGER           7                              (line 662)
CLOSE_PAREN       ')'                            (line 662)
SEMICOLON         ';'                            (line 662)
CLOSE_BRACE       '}'                            (line 663)
CLOSE_BRACE       '}'                            (line 664)

=== ERRORS ===
[ERROR] Illegal character 'ñ' at line 650
