Lexical Analysis Log
User: waldaara
File: algoritmo2.cs
Date: 14-07-2025-08h42

=== TOKENS ===
USING             'using'                        (line 1)
IDENTIFIER        'System'                       (line 1)
SEMICOLON         ';'                            (line 1)
CLASS             'class'                        (line 3)
IDENTIFIER        'Program'                      (line 3)
OPEN_BRACE        '{'                            (line 4)
STATIC            'static'                       (line 5)
VOID              'void'                         (line 5)
IDENTIFIER        'Fibonacci'                    (line 5)
OPEN_PAREN        '('                            (line 5)
INT_TYPE          'int'                          (line 5)
IDENTIFIER        'count'                        (line 5)
CLOSE_PAREN       ')'                            (line 5)
OPEN_BRACE        '{'                            (line 6)
INT_TYPE          'int'                          (line 7)
IDENTIFIER        'a'                            (line 7)
ASSIGN            '='                            (line 7)
INTEGER           0                              (line 7)
COMMA             ','                            (line 7)
IDENTIFIER        'b'                            (line 7)
ASSIGN            '='                            (line 7)
INTEGER           1                              (line 7)
SEMICOLON         ';'                            (line 7)
LIST              'List'                         (line 8)
LESS_THAN         '<'                            (line 8)
STRING_TYPE       'string'                       (line 8)
GREATER_THAN      '>'                            (line 8)
IDENTIFIER        'nombres'                      (line 8)
ASSIGN            '='                            (line 8)
LIST              'List'                         (line 8)
LESS_THAN         '<'                            (line 8)
STRING_TYPE       'string'                       (line 8)
GREATER_THAN      '>'                            (line 8)
OPEN_BRACE        '{'                            (line 8)
STRING            'Ana'                          (line 8)
COMMA             ','                            (line 8)
STRING            'Juan'                         (line 8)
COMMA             ','                            (line 8)
STRING            'Pedro'                        (line 8)
CLOSE_BRACE       '}'                            (line 8)
SEMICOLON         ';'                            (line 8)
CONSOLE           'Console'                      (line 9)
DOT               '.'                            (line 9)
WRITE             'Write'                        (line 9)
OPEN_PAREN        '('                            (line 9)
STRING            'Fibonacci: '                  (line 9)
CLOSE_PAREN       ')'                            (line 9)
SEMICOLON         ';'                            (line 9)
FOR               'for'                          (line 10)
OPEN_PAREN        '('                            (line 10)
INT_TYPE          'int'                          (line 10)
IDENTIFIER        'i'                            (line 10)
ASSIGN            '='                            (line 10)
INTEGER           0                              (line 10)
SEMICOLON         ';'                            (line 10)
IDENTIFIER        'i'                            (line 10)
LESS_THAN         '<'                            (line 10)
IDENTIFIER        'count'                        (line 10)
SEMICOLON         ';'                            (line 10)
IDENTIFIER        'i'                            (line 10)
INCREMENT         '++'                           (line 10)
CLOSE_PAREN       ')'                            (line 10)
OPEN_BRACE        '{'                            (line 11)
CONSOLE           'Console'                      (line 12)
DOT               '.'                            (line 12)
WRITE             'Write'                        (line 12)
OPEN_PAREN        '('                            (line 12)
IDENTIFIER        'a'                            (line 12)
PLUS              '+'                            (line 12)
STRING            ' '                            (line 12)
CLOSE_PAREN       ')'                            (line 12)
SEMICOLON         ';'                            (line 12)
INT_TYPE          'int'                          (line 13)
IDENTIFIER        'temp'                         (line 13)
ASSIGN            '='                            (line 13)
IDENTIFIER        'a'                            (line 13)
SEMICOLON         ';'                            (line 13)
IDENTIFIER        'a'                            (line 14)
ASSIGN            '='                            (line 14)
IDENTIFIER        'b'                            (line 14)
SEMICOLON         ';'                            (line 14)
IDENTIFIER        'b'                            (line 15)
ASSIGN            '='                            (line 15)
IDENTIFIER        'temp'                         (line 15)
PLUS              '+'                            (line 15)
IDENTIFIER        'b'                            (line 15)
SEMICOLON         ';'                            (line 15)
CLOSE_BRACE       '}'                            (line 16)
CLOSE_BRACE       '}'                            (line 17)
STATIC            'static'                       (line 19)
VOID              'void'                         (line 19)
IDENTIFIER        'Main'                         (line 19)
OPEN_PAREN        '('                            (line 19)
CLOSE_PAREN       ')'                            (line 19)
OPEN_BRACE        '{'                            (line 20)
IDENTIFIER        'Fibonacci'                    (line 21)
OPEN_PAREN        '('                            (line 21)
INTEGER           7                              (line 21)
CLOSE_PAREN       ')'                            (line 21)
SEMICOLON         ';'                            (line 21)
CLOSE_BRACE       '}'                            (line 22)
CLOSE_BRACE       '}'                            (line 23)

No lexical errors detected.
